name,r,g,b
Pastel_Pink,0.95,0.75,0.75
Pastel_Yellow,0.98,0.85,0.60
Pastel_Lavender,0.85,0.80,0.95
Pastel_Beige,0.95,0.90,0.65
Pastel_Violet,0.75,0.60,0.90
Pastel_Rose,0.90,0.70,0.75
Vivid_Red,0.9,0.4,0.4
Vivid_Orange,1.0,0.7,0.3
Vivid_Blue,0.3,0.7,1.0
Vivid_Green,0.5,0.8,0.5
Sakura_Light,1.0,0.85,0.90
Sakura_Medium,0.95,0.60,0.75
Sakura_Deep,0.90,0.40,0.60
